Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,36842.171875,37807.550781,36416.789063,37581.910156,37581.910156,128100
2019-08-12,37755.160156,37755.160156,36888.488281,37350.328125,37350.328125,77200
2019-08-19,37485.921875,37718.878906,36102.351563,36701.160156,36701.160156,138600
2019-08-26,37363.949219,37731.511719,36492.648438,37332.789063,37332.789063,165800
2019-09-02,37181.761719,37188.378906,36409.539063,36981.769531,36981.769531,99600
2019-09-09,36969.480469,37435.148438,36784.468750,37384.988281,37384.988281,123800
2019-09-16,37204.558594,38378.019531,35987.800781,38014.621094,38014.621094,158500
2019-09-23,38844.000000,39441.121094,38510.968750,38822.570313,38822.570313,134600
2019-09-30,38873.121094,38923.781250,37633.359375,37673.308594,37673.308594,236500
2019-10-07,37853.800781,38345.410156,37415.828125,38127.078125,38127.078125,143500
2019-10-14,38208.238281,39361.058594,38066.128906,39298.378906,39298.378906,171700
2019-10-21,39233.398438,39426.468750,38718.269531,39058.058594,39058.058594,180700
2019-10-28,39293.488281,40392.218750,39254.121094,40165.031250,40165.031250,232600
2019-11-04,40293.851563,40749.328125,40037.531250,40323.609375,40323.609375,218500
2019-11-11,40316.500000,40650.058594,40026.988281,40356.691406,40356.691406,120800
2019-11-18,40431.078125,40816.378906,40221.968750,40359.410156,40359.410156,143600
2019-11-25,40439.660156,41163.789063,40393.898438,40793.808594,40793.808594,171400
2019-12-02,41072.941406,41093.988281,40337.531250,40445.148438,40445.148438,184100
2019-12-09,40527.238281,41055.800781,40135.371094,41009.710938,41009.710938,188700
2019-12-16,41168.851563,41809.960938,40917.929688,41681.539063,41681.539063,131800
2019-12-23,41548.261719,41702.980469,41132.890625,41575.140625,41575.140625,22300
2019-12-30,41686.269531,41714.730469,41184.730469,41464.609375,41464.609375,25500
2020-01-06,41378.339844,41775.109375,40476.550781,41599.718750,41599.718750,59800
2020-01-13,41788.210938,42063.929688,41648.109375,41945.371094,41945.371094,46900
2020-01-20,42263.000000,42273.871094,41059.039063,41613.191406,41613.191406,40600
2020-01-27,41510.679688,41516.269531,40671.011719,40723.488281,40723.488281,42800
2020-02-03,39701.019531,41405.429688,39563.070313,41141.851563,41141.851563,70100
2020-02-10,41166.718750,41709.300781,40798.980469,41257.738281,41257.738281,51400
2020-02-17,41324.039063,41420.339844,40610.949219,41170.121094,41170.121094,33200
2020-02-24,41037.011719,41037.011719,38219.968750,38297.289063,38297.289063,46700
2020-03-02,38910.949219,39083.171875,37011.089844,37576.621094,37576.621094,71800
2020-03-09,36950.199219,36950.199219,29388.970703,34103.480469,34103.480469,104500
2020-03-16,33103.238281,33103.238281,26714.460938,29915.960938,29915.960938,136200
2020-03-23,27608.800781,31126.029297,25638.900391,29815.589844,29815.589844,339900
2020-03-30,29226.550781,29770.880859,27500.789063,27590.949219,27590.949219,86500
2020-04-06,28898.359375,31227.970703,28602.310547,31159.619141,31159.619141,65400
2020-04-13,31195.720703,31718.730469,30016.169922,31588.720703,31588.720703,78800
2020-04-20,32056.189453,32056.470703,30378.259766,31327.220703,31327.220703,99900
2020-04-27,31659.039063,33887.250000,31651.580078,33717.621094,33717.621094,65600
2020-05-04,32748.140625,32748.140625,31158.750000,31642.699219,31642.699219,92500
2020-05-11,32030.339844,32845.480469,30770.480469,31097.730469,31097.730469,87800
2020-05-18,31248.259766,31248.259766,29968.449219,30672.589844,30672.589844,90400
2020-05-25,30864.269531,32480.519531,30512.140625,32424.099609,32424.099609,273400
2020-06-01,32906.050781,34488.691406,32876.550781,34287.238281,34287.238281,159400
2020-06-08,34841.171875,34927.800781,32348.099609,33780.890625,33780.890625,104300
2020-06-15,33670.550781,34848.371094,32923.738281,34731.730469,34731.730469,115100
2020-06-22,34892.031250,35706.550781,34499.781250,35171.269531,35171.269531,126300
2020-06-29,34926.949219,36110.210938,34662.058594,36021.421875,36021.421875,93300
2020-07-06,36313.460938,36828.429688,36234.171875,36594.328125,36594.328125,106000
2020-07-13,36880.660156,37125.980469,35877.421875,37020.140625,37020.140625,89100
2020-07-20,37409.031250,38235.730469,37185.781250,38128.898438,38128.898438,104600
2020-07-27,38275.339844,38617.031250,37431.679688,37606.890625,37606.890625,86700
2020-08-03,37595.730469,38221.398438,36911.230469,38040.570313,38040.570313,81100
2020-08-10,38168.421875,38556.269531,37654.921875,37877.339844,37877.339844,95200
2020-08-17,38062.070313,38788.511719,37734.140625,38434.718750,38434.718750,80500
2020-08-24,38566.960938,39579.578125,38545.761719,39467.308594,39467.308594,97200
2020-08-31,39888.148438,40010.171875,38249.769531,38357.179688,38357.179688,91600
2020-09-07,38284.781250,38978.519531,37935.261719,38854.550781,38854.550781,66300
2020-09-14,39073.511719,39359.511719,38573.171875,38845.820313,38845.820313,63700
2020-09-21,38812.691406,38990.761719,36495.980469,37388.660156,37388.660156,73500
2020-09-28,37756.250000,38738.890625,37544.050781,38697.050781,38697.050781,55500
2020-10-05,38956.781250,40585.359375,38819.890625,40509.488281,40509.488281,72800
2020-10-12,40716.949219,41048.050781,39667.468750,39982.980469,39982.980469,85000
2020-10-19,40318.570313,40976.019531,40150.480469,40685.500000,40685.500000,67400
2020-10-26,40649.761719,40724.398438,39241.871094,39614.070313,39614.070313,84900
2020-11-02,39880.378906,41954.929688,39334.921875,41893.058594,41893.058594,119300
2020-11-09,42273.968750,43708.468750,42263.640625,43443.000000,43443.000000,122200
2020-11-13,43298.921875,43522.250000,43053.371094,43443.000000,43443.000000,0
